sample_id,image_id,annotation_id,category_name,view,image_path,prompt,model,runtime_seconds,answer,evidence,parse_ok,raw_response
tennis_racket_444142_654834,444142,654834,tennis racket,original,/Users/boddu/Documents/govinda/codex/COCOGhost/outputs/counterfactuals_large200_bbox_solid/tennis_racket_444142_654834/original.jpg,"You are a careful visual verifier. Look only at visible pixels in the image.

Question: Is there a ""tennis racket"" visible in this image?

Rules:
- Answer YES only if the object itself is visibly present.
- Answer NO if the object is not visible.
- Answer UNSURE if the image is ambiguous or the object is occluded.
- Do not infer from scene context.
- Do not infer from what would usually be present.
- Return strict JSON only.

JSON schema:
{
  ""answer"": ""YES"" | ""NO"" | ""UNSURE"",
  ""evidence"": ""short phrase describing visible evidence only""
}",llava:7b,5.737735986709595,YES,"Tennis racket is visibly present in the image, held by the player.",True," ```json
{
  ""answer"": ""YES"",
  ""evidence"": ""Tennis racket is visibly present in the image, held by the player.""
}
``` "
tennis_racket_444142_654834,444142,654834,tennis racket,crop,/Users/boddu/Documents/govinda/codex/COCOGhost/outputs/counterfactuals_large200_bbox_solid/tennis_racket_444142_654834/crop.jpg,"You are a careful visual verifier. Look only at visible pixels in the image.

Question: Is there a ""tennis racket"" visible in this image?

Rules:
- Answer YES only if the object itself is visibly present.
- Answer NO if the object is not visible.
- Answer UNSURE if the image is ambiguous or the object is occluded.
- Do not infer from scene context.
- Do not infer from what would usually be present.
- Return strict JSON only.

JSON schema:
{
  ""answer"": ""YES"" | ""NO"" | ""UNSURE"",
  ""evidence"": ""short phrase describing visible evidence only""
}",llava:7b,2.2243809700012207,YES,Tennis racket is clearly visible in the image.,True," ```json
{
  ""answer"": ""YES"",
  ""evidence"": ""Tennis racket is clearly visible in the image.""
}
``` "
tennis_racket_444142_654834,444142,654834,tennis racket,masked,/Users/boddu/Documents/govinda/codex/COCOGhost/outputs/counterfactuals_large200_bbox_solid/tennis_racket_444142_654834/masked.jpg,"You are a careful visual verifier. Look only at visible pixels in the image.

Question: Is there a ""tennis racket"" visible in this image?

Rules:
- Answer YES only if the object itself is visibly present.
- Answer NO if the object is not visible.
- Answer UNSURE if the image is ambiguous or the object is occluded.
- Do not infer from scene context.
- Do not infer from what would usually be present.
- Return strict JSON only.

JSON schema:
{
  ""answer"": ""YES"" | ""NO"" | ""UNSURE"",
  ""evidence"": ""short phrase describing visible evidence only""
}",llava:7b,2.258275032043457,NO,No tennis racket is visible in the image.,True," ```json
{
  ""answer"": ""NO"",
  ""evidence"": ""No tennis racket is visible in the image.""
}
``` "
tennis_racket_369323_656095,369323,656095,tennis racket,original,/Users/boddu/Documents/govinda/codex/COCOGhost/outputs/counterfactuals_large200_bbox_solid/tennis_racket_369323_656095/original.jpg,"You are a careful visual verifier. Look only at visible pixels in the image.

Question: Is there a ""tennis racket"" visible in this image?

Rules:
- Answer YES only if the object itself is visibly present.
- Answer NO if the object is not visible.
- Answer UNSURE if the image is ambiguous or the object is occluded.
- Do not infer from scene context.
- Do not infer from what would usually be present.
- Return strict JSON only.

JSON schema:
{
  ""answer"": ""YES"" | ""NO"" | ""UNSURE"",
  ""evidence"": ""short phrase describing visible evidence only""
}",llava:7b,2.579026937484741,YES,"Tennis racket is visible in the image, held by a player on the court.",True," ```json
{
  ""answer"": ""YES"",
  ""evidence"": ""Tennis racket is visible in the image, held by a player on the court.""
}
``` "
tennis_racket_369323_656095,369323,656095,tennis racket,crop,/Users/boddu/Documents/govinda/codex/COCOGhost/outputs/counterfactuals_large200_bbox_solid/tennis_racket_369323_656095/crop.jpg,"You are a careful visual verifier. Look only at visible pixels in the image.

Question: Is there a ""tennis racket"" visible in this image?

Rules:
- Answer YES only if the object itself is visibly present.
- Answer NO if the object is not visible.
- Answer UNSURE if the image is ambiguous or the object is occluded.
- Do not infer from scene context.
- Do not infer from what would usually be present.
- Return strict JSON only.

JSON schema:
{
  ""answer"": ""YES"" | ""NO"" | ""UNSURE"",
  ""evidence"": ""short phrase describing visible evidence only""
}",llava:7b,2.3195509910583496,YES,Tennis racket is clearly visible in the image.,True," ```json
{
  ""answer"": ""YES"",
  ""evidence"": ""Tennis racket is clearly visible in the image.""
}
``` "
tennis_racket_369323_656095,369323,656095,tennis racket,masked,/Users/boddu/Documents/govinda/codex/COCOGhost/outputs/counterfactuals_large200_bbox_solid/tennis_racket_369323_656095/masked.jpg,"You are a careful visual verifier. Look only at visible pixels in the image.

Question: Is there a ""tennis racket"" visible in this image?

Rules:
- Answer YES only if the object itself is visibly present.
- Answer NO if the object is not visible.
- Answer UNSURE if the image is ambiguous or the object is occluded.
- Do not infer from scene context.
- Do not infer from what would usually be present.
- Return strict JSON only.

JSON schema:
{
  ""answer"": ""YES"" | ""NO"" | ""UNSURE"",
  ""evidence"": ""short phrase describing visible evidence only""
}",llava:7b,2.4255223274230957,NO,"The image shows a person playing tennis, but there is no visible tennis racket in the frame.",True," ```json
{
  ""answer"": ""NO"",
  ""evidence"": ""The image shows a person playing tennis, but there is no visible tennis racket in the frame.""
}
``` "
tennis_racket_203864_657072,203864,657072,tennis racket,original,/Users/boddu/Documents/govinda/codex/COCOGhost/outputs/counterfactuals_large200_bbox_solid/tennis_racket_203864_657072/original.jpg,"You are a careful visual verifier. Look only at visible pixels in the image.

Question: Is there a ""tennis racket"" visible in this image?

Rules:
- Answer YES only if the object itself is visibly present.
- Answer NO if the object is not visible.
- Answer UNSURE if the image is ambiguous or the object is occluded.
- Do not infer from scene context.
- Do not infer from what would usually be present.
- Return strict JSON only.

JSON schema:
{
  ""answer"": ""YES"" | ""NO"" | ""UNSURE"",
  ""evidence"": ""short phrase describing visible evidence only""
}",llava:7b,2.439052104949951,YES,"A tennis racket is visible in the image, held by a player on the court.",True," ```json
{
  ""answer"": ""YES"",
  ""evidence"": ""A tennis racket is visible in the image, held by a player on the court.""
}
``` "
tennis_racket_203864_657072,203864,657072,tennis racket,crop,/Users/boddu/Documents/govinda/codex/COCOGhost/outputs/counterfactuals_large200_bbox_solid/tennis_racket_203864_657072/crop.jpg,"You are a careful visual verifier. Look only at visible pixels in the image.

Question: Is there a ""tennis racket"" visible in this image?

Rules:
- Answer YES only if the object itself is visibly present.
- Answer NO if the object is not visible.
- Answer UNSURE if the image is ambiguous or the object is occluded.
- Do not infer from scene context.
- Do not infer from what would usually be present.
- Return strict JSON only.

JSON schema:
{
  ""answer"": ""YES"" | ""NO"" | ""UNSURE"",
  ""evidence"": ""short phrase describing visible evidence only""
}",llava:7b,2.4490509033203125,YES,"Tennis racket is clearly visible in the image, held by a person on the tennis court.",True," ```json
{
  ""answer"": ""YES"",
  ""evidence"": ""Tennis racket is clearly visible in the image, held by a person on the tennis court.""
}
``` "
tennis_racket_203864_657072,203864,657072,tennis racket,masked,/Users/boddu/Documents/govinda/codex/COCOGhost/outputs/counterfactuals_large200_bbox_solid/tennis_racket_203864_657072/masked.jpg,"You are a careful visual verifier. Look only at visible pixels in the image.

Question: Is there a ""tennis racket"" visible in this image?

Rules:
- Answer YES only if the object itself is visibly present.
- Answer NO if the object is not visible.
- Answer UNSURE if the image is ambiguous or the object is occluded.
- Do not infer from scene context.
- Do not infer from what would usually be present.
- Return strict JSON only.

JSON schema:
{
  ""answer"": ""YES"" | ""NO"" | ""UNSURE"",
  ""evidence"": ""short phrase describing visible evidence only""
}",llava:7b,2.225576877593994,NO,No tennis racket is visibly present in the image.,True," ```json
{
  ""answer"": ""NO"",
  ""evidence"": ""No tennis racket is visibly present in the image.""
}
``` "
tennis_racket_44877_656268,44877,656268,tennis racket,original,/Users/boddu/Documents/govinda/codex/COCOGhost/outputs/counterfactuals_large200_bbox_solid/tennis_racket_44877_656268/original.jpg,"You are a careful visual verifier. Look only at visible pixels in the image.

Question: Is there a ""tennis racket"" visible in this image?

Rules:
- Answer YES only if the object itself is visibly present.
- Answer NO if the object is not visible.
- Answer UNSURE if the image is ambiguous or the object is occluded.
- Do not infer from scene context.
- Do not infer from what would usually be present.
- Return strict JSON only.

JSON schema:
{
  ""answer"": ""YES"" | ""NO"" | ""UNSURE"",
  ""evidence"": ""short phrase describing visible evidence only""
}",llava:7b,2.5439372062683105,NO,"The image shows a person in a wheelchair holding a tennis racket, but the racket is not clearly visible due to its position and angle.",True," ```json
{
  ""answer"": ""NO"",
  ""evidence"": ""The image shows a person in a wheelchair holding a tennis racket, but the racket is not clearly visible due to its position and angle.""
}
``` "
