sample_id,category_name,masked_path,mask_fill,mask_dilation_pixels,artifact_model,artifact_runtime_seconds,artifact_label,artifact_score,artifact_parse_ok,artifact_rationale,artifact_raw_response
tennis_racket_444142_654834,tennis racket,/Users/boddu/Documents/govinda/codex/COCOGhost/outputs/counterfactuals_large200_bbox_solid/tennis_racket_444142_654834/masked.jpg,solid_local_mean,0,qwen2.5vl:7b,4.882960796356201,clean_removal,0,True,"The masked region does not preserve a clear target-object shape, and there is no faint or ambiguous object-shaped blur remaining.","{
  ""artifact_label"": ""clean_removal"",
  ""artifact_score"": 0,
  ""rationale"": ""The masked region does not preserve a clear target-object shape, and there is no faint or ambiguous object-shaped blur remaining.""
}"
tennis_racket_369323_656095,tennis racket,/Users/boddu/Documents/govinda/codex/COCOGhost/outputs/counterfactuals_large200_bbox_solid/tennis_racket_369323_656095/masked.jpg,solid_local_mean,0,qwen2.5vl:7b,4.596575021743774,clean_removal,0,True,"The masked region does not preserve a clear target-object shape, and there is no faint or ambiguous object-shaped blur remaining.","{
  ""artifact_label"": ""clean_removal"",
  ""artifact_score"": 0,
  ""rationale"": ""The masked region does not preserve a clear target-object shape, and there is no faint or ambiguous object-shaped blur remaining.""
}"
tennis_racket_203864_657072,tennis racket,/Users/boddu/Documents/govinda/codex/COCOGhost/outputs/counterfactuals_large200_bbox_solid/tennis_racket_203864_657072/masked.jpg,solid_local_mean,0,qwen2.5vl:7b,4.5759148597717285,clean_removal,0,True,"The masked region does not preserve a clear target-object shape, and the tennis racket is no longer visibly present.","{
  ""artifact_label"": ""clean_removal"",
  ""artifact_score"": 0,
  ""rationale"": ""The masked region does not preserve a clear target-object shape, and the tennis racket is no longer visibly present.""
}"
tennis_racket_44877_656268,tennis racket,/Users/boddu/Documents/govinda/codex/COCOGhost/outputs/counterfactuals_large200_bbox_solid/tennis_racket_44877_656268/masked.jpg,solid_local_mean,0,qwen2.5vl:7b,4.546032190322876,clean_removal,0,True,"The masked region does not preserve a clear target-object shape, and there is no faint or ambiguous object-shaped blur remaining.","{
  ""artifact_label"": ""clean_removal"",
  ""artifact_score"": 0,
  ""rationale"": ""The masked region does not preserve a clear target-object shape, and there is no faint or ambiguous object-shaped blur remaining.""
}"
tennis_racket_522889_657613,tennis racket,/Users/boddu/Documents/govinda/codex/COCOGhost/outputs/counterfactuals_large200_bbox_solid/tennis_racket_522889_657613/masked.jpg,solid_local_mean,0,qwen2.5vl:7b,4.504528760910034,clean_removal,0,True,"The masked region does not preserve a clear target-object shape, and the tennis racket is no longer visibly present.","{
  ""artifact_label"": ""clean_removal"",
  ""artifact_score"": 0,
  ""rationale"": ""The masked region does not preserve a clear target-object shape, and the tennis racket is no longer visibly present.""
}"
tennis_racket_96427_659911,tennis racket,/Users/boddu/Documents/govinda/codex/COCOGhost/outputs/counterfactuals_large200_bbox_solid/tennis_racket_96427_659911/masked.jpg,solid_local_mean,0,qwen2.5vl:7b,4.366481065750122,clean_removal,0,True,"The masked region does not preserve a clear target-object shape, and the area is filled with a solid color.","{
  ""artifact_label"": ""clean_removal"",
  ""artifact_score"": 0,
  ""rationale"": ""The masked region does not preserve a clear target-object shape, and the area is filled with a solid color.""
}"
tennis_racket_223182_658520,tennis racket,/Users/boddu/Documents/govinda/codex/COCOGhost/outputs/counterfactuals_large200_bbox_solid/tennis_racket_223182_658520/masked.jpg,solid_local_mean,0,qwen2.5vl:7b,4.2781500816345215,clean_removal,0,True,The tennis racket is completely masked and there are no residual shapes or artifacts that suggest its presence.,"{
  ""artifact_label"": ""clean_removal"",
  ""artifact_score"": 0,
  ""rationale"": ""The tennis racket is completely masked and there are no residual shapes or artifacts that suggest its presence.""
}"
tennis_racket_362716_656978,tennis racket,/Users/boddu/Documents/govinda/codex/COCOGhost/outputs/counterfactuals_large200_bbox_solid/tennis_racket_362716_656978/masked.jpg,solid_local_mean,0,qwen2.5vl:7b,4.360890865325928,clean_removal,0,True,"The masked region does not preserve a clear target-object shape, and there is no faint or ambiguous object-shaped blur remaining.","{
  ""artifact_label"": ""clean_removal"",
  ""artifact_score"": 0,
  ""rationale"": ""The masked region does not preserve a clear target-object shape, and there is no faint or ambiguous object-shaped blur remaining.""
}"
tennis_racket_323496_655580,tennis racket,/Users/boddu/Documents/govinda/codex/COCOGhost/outputs/counterfactuals_large200_bbox_solid/tennis_racket_323496_655580/masked.jpg,solid_local_mean,0,qwen2.5vl:7b,4.24773097038269,clean_removal,0,True,"The masked region does not preserve a clear target-object shape, and there is no faint or ambiguous object-shaped blur remaining.","{
  ""artifact_label"": ""clean_removal"",
  ""artifact_score"": 0,
  ""rationale"": ""The masked region does not preserve a clear target-object shape, and there is no faint or ambiguous object-shaped blur remaining.""
}"
tennis_racket_64523_1482412,tennis racket,/Users/boddu/Documents/govinda/codex/COCOGhost/outputs/counterfactuals_large200_bbox_solid/tennis_racket_64523_1482412/masked.jpg,solid_local_mean,0,qwen2.5vl:7b,4.201751947402954,clean_removal,0,True,"The masked region does not preserve a clear target-object shape, and the tennis rackets are no longer visibly present.","{
  ""artifact_label"": ""clean_removal"",
  ""artifact_score"": 0,
  ""rationale"": ""The masked region does not preserve a clear target-object shape, and the tennis rackets are no longer visibly present.""
}"
baseball_bat_57232_1476315,baseball bat,/Users/boddu/Documents/govinda/codex/COCOGhost/outputs/counterfactuals_large200_bbox_solid/baseball_bat_57232_1476315/masked.jpg,solid_local_mean,0,qwen2.5vl:7b,3.9816510677337646,clean_removal,0,True,"The masked region does not preserve a clear target-object shape, and the object itself is not visibly present.","{
  ""artifact_label"": ""clean_removal"",
  ""artifact_score"": 0,
  ""rationale"": ""The masked region does not preserve a clear target-object shape, and the object itself is not visibly present.""
}"
baseball_bat_158227_629940,baseball bat,/Users/boddu/Documents/govinda/codex/COCOGhost/outputs/counterfactuals_large200_bbox_solid/baseball_bat_158227_629940/masked.jpg,solid_local_mean,0,qwen2.5vl:7b,4.239249229431152,clean_removal,0,True,"The masked region does not preserve a clear target-object shape, and the area is filled with blur.","{
  ""artifact_label"": ""clean_removal"",
  ""artifact_score"": 0,
  ""rationale"": ""The masked region does not preserve a clear target-object shape, and the area is filled with blur.""
}"
baseball_bat_284743_627441,baseball bat,/Users/boddu/Documents/govinda/codex/COCOGhost/outputs/counterfactuals_large200_bbox_solid/baseball_bat_284743_627441/masked.jpg,solid_local_mean,0,qwen2.5vl:7b,4.0669989585876465,clean_removal,0,True,The masked region does not preserve a clear target-object shape or any residual artifact.,"{
  ""artifact_label"": ""clean_removal"",
  ""artifact_score"": 0,
  ""rationale"": ""The masked region does not preserve a clear target-object shape or any residual artifact.""
}"
