sample_id,category_name,original_answer,crop_answer,masked_answer,ghost_flag,evidence_supported,final_answer,risk,guard_accept,guard_abstain
tennis_racket_444142_654834,tennis racket,YES,YES,NO,False,True,YES,low,True,False
tennis_racket_369323_656095,tennis racket,YES,YES,NO,False,True,YES,low,True,False
tennis_racket_203864_657072,tennis racket,YES,YES,YES,True,True,UNSURE,high_context_hallucination,False,True
tennis_racket_44877_656268,tennis racket,YES,YES,NO,False,True,YES,low,True,False
tennis_racket_522889_657613,tennis racket,YES,YES,YES,True,True,UNSURE,high_context_hallucination,False,True
tennis_racket_96427_659911,tennis racket,YES,YES,YES,True,True,UNSURE,high_context_hallucination,False,True
tennis_racket_223182_658520,tennis racket,YES,YES,YES,True,True,UNSURE,high_context_hallucination,False,True
tennis_racket_362716_656978,tennis racket,YES,YES,NO,False,True,YES,low,True,False
tennis_racket_323496_655580,tennis racket,YES,YES,YES,True,True,UNSURE,high_context_hallucination,False,True
tennis_racket_64523_1482412,tennis racket,YES,YES,YES,True,True,UNSURE,high_context_hallucination,False,True
baseball_bat_57232_1476315,baseball bat,YES,YES,YES,True,True,UNSURE,high_context_hallucination,False,True
baseball_bat_158227_629940,baseball bat,YES,YES,YES,True,True,UNSURE,high_context_hallucination,False,True
baseball_bat_284743_627441,baseball bat,YES,YES,NO,False,True,YES,low,True,False
baseball_bat_264968_631256,baseball bat,YES,YES,YES,True,True,UNSURE,high_context_hallucination,False,True
baseball_bat_254516_628997,baseball bat,YES,YES,NO,False,True,YES,low,True,False
baseball_bat_559547_630703,baseball bat,YES,YES,NO,False,True,YES,low,True,False
baseball_bat_491464_629786,baseball bat,YES,YES,YES,True,True,UNSURE,high_context_hallucination,False,True
baseball_bat_415727_1477477,baseball bat,YES,YES,YES,True,True,UNSURE,high_context_hallucination,False,True
baseball_bat_398028_630159,baseball bat,YES,YES,YES,True,True,UNSURE,high_context_hallucination,False,True
baseball_bat_279714_1475930,baseball bat,YES,YES,NO,False,True,YES,low,True,False
skateboard_125472_639877,skateboard,YES,YES,YES,True,True,UNSURE,high_context_hallucination,False,True
skateboard_562229_639293,skateboard,YES,YES,NO,False,True,YES,low,True,False
skateboard_279278_640440,skateboard,YES,YES,NO,False,True,YES,low,True,False
skateboard_489924_639066,skateboard,YES,YES,NO,False,True,YES,low,True,False
skateboard_300842_643418,skateboard,YES,YES,NO,False,True,YES,low,True,False
skateboard_563648_1474865,skateboard,YES,YES,YES,True,True,UNSURE,high_context_hallucination,False,True
skateboard_25096_1474353,skateboard,NO,YES,NO,False,True,NO,none,False,False
skateboard_72281_643979,skateboard,YES,YES,NO,False,True,YES,low,True,False
skateboard_161978_1478022,skateboard,YES,YES,YES,True,True,UNSURE,high_context_hallucination,False,True
skateboard_35197_645628,skateboard,YES,YES,NO,False,True,YES,low,True,False
surfboard_127517_1481509,surfboard,YES,YES,YES,True,True,UNSURE,high_context_hallucination,False,True
surfboard_381360_647841,surfboard,YES,YES,NO,False,True,YES,low,True,False
surfboard_498807_651602,surfboard,YES,YES,NO,False,True,YES,low,True,False
surfboard_355677_650223,surfboard,YES,YES,NO,False,True,YES,low,True,False
surfboard_199442_652517,surfboard,YES,YES,NO,False,True,YES,low,True,False
surfboard_210915_646576,surfboard,YES,YES,YES,True,True,UNSURE,high_context_hallucination,False,True
surfboard_16451_1862621,surfboard,YES,YES,YES,True,True,UNSURE,high_context_hallucination,False,True
surfboard_512657_1478181,surfboard,YES,YES,NO,False,True,YES,low,True,False
surfboard_25228_650483,surfboard,YES,YES,NO,False,True,YES,low,True,False
surfboard_380711_649219,surfboard,YES,YES,NO,False,True,YES,low,True,False
fork_75393_1520571,fork,YES,YES,YES,True,True,UNSURE,high_context_hallucination,False,True
fork_322959_690753,fork,YES,YES,NO,False,True,YES,low,True,False
fork_173371_690999,fork,YES,YES,YES,True,True,UNSURE,high_context_hallucination,False,True
fork_17714_689203,fork,YES,YES,YES,True,True,UNSURE,high_context_hallucination,False,True
fork_533958_688805,fork,YES,YES,NO,False,True,YES,low,True,False
fork_265518_689541,fork,YES,YES,NO,False,True,YES,low,True,False
fork_559513_687555,fork,YES,YES,NO,False,True,YES,low,True,False
fork_414638_686732,fork,YES,YES,NO,False,True,YES,low,True,False
fork_376322_687300,fork,YES,YES,NO,False,True,YES,low,True,False
fork_104669_691061,fork,YES,YES,NO,False,True,YES,low,True,False
wine_glass_2157_1500881,wine glass,YES,YES,YES,True,True,UNSURE,high_context_hallucination,False,True
wine_glass_385029_661859,wine glass,YES,YES,YES,True,True,UNSURE,high_context_hallucination,False,True
wine_glass_116208_664090,wine glass,YES,YES,YES,True,True,UNSURE,high_context_hallucination,False,True
wine_glass_355325_1496798,wine glass,YES,YES,YES,True,True,UNSURE,high_context_hallucination,False,True
