sample_id,image_id,annotation_id,category_id,category_name,file_name,image_path,width,height,bbox_x,bbox_y,bbox_w,bbox_h,area,coco_url
tennis_racket_444142_654834,444142,654834,43,tennis racket,000000444142.jpg,/Users/boddu/Documents/govinda/codex/COCOGhost/data/selected/images/000000444142.jpg,427,640,104.59,34.31,70.05,146.46,5750.063149999998,http://images.cocodataset.org/val2017/000000444142.jpg
tennis_racket_369323_656095,369323,656095,43,tennis racket,000000369323.jpg,/Users/boddu/Documents/govinda/codex/COCOGhost/data/selected/images/000000369323.jpg,377,500,289.89,37.08,59.55,115.73,4349.509550000001,http://images.cocodataset.org/val2017/000000369323.jpg
tennis_racket_203864_657072,203864,657072,43,tennis racket,000000203864.jpg,/Users/boddu/Documents/govinda/codex/COCOGhost/data/selected/images/000000203864.jpg,640,491,338.32,272.52,84.58,54.92,2692.4698999999996,http://images.cocodataset.org/val2017/000000203864.jpg
tennis_racket_44877_656268,44877,656268,43,tennis racket,000000044877.jpg,/Users/boddu/Documents/govinda/codex/COCOGhost/data/selected/images/000000044877.jpg,640,427,286.58,172.04,305.68,127.05,16429.2028,http://images.cocodataset.org/val2017/000000044877.jpg
tennis_racket_522889_657613,522889,657613,43,tennis racket,000000522889.jpg,/Users/boddu/Documents/govinda/codex/COCOGhost/data/selected/images/000000522889.jpg,424,640,66.09,149.24,88.18,101.28,2566.785,http://images.cocodataset.org/val2017/000000522889.jpg
tennis_racket_96427_659911,96427,659911,43,tennis racket,000000096427.jpg,/Users/boddu/Documents/govinda/codex/COCOGhost/data/selected/images/000000096427.jpg,640,427,64.71,176.74,137.25,63.29,5156.9563499999995,http://images.cocodataset.org/val2017/000000096427.jpg
tennis_racket_223182_658520,223182,658520,43,tennis racket,000000223182.jpg,/Users/boddu/Documents/govinda/codex/COCOGhost/data/selected/images/000000223182.jpg,640,538,171.45,298.01,99.37,221.07,10735.0905,http://images.cocodataset.org/val2017/000000223182.jpg
tennis_racket_362716_656978,362716,656978,43,tennis racket,000000362716.jpg,/Users/boddu/Documents/govinda/codex/COCOGhost/data/selected/images/000000362716.jpg,640,427,132.39,11.7,89.12,153.69,8160.9173500000015,http://images.cocodataset.org/val2017/000000362716.jpg
tennis_racket_323496_655580,323496,655580,43,tennis racket,000000323496.jpg,/Users/boddu/Documents/govinda/codex/COCOGhost/data/selected/images/000000323496.jpg,500,398,136.67,72.25,141.83,70.49,4598.165900000001,http://images.cocodataset.org/val2017/000000323496.jpg
tennis_racket_64523_1482412,64523,1482412,43,tennis racket,000000064523.jpg,/Users/boddu/Documents/govinda/codex/COCOGhost/data/selected/images/000000064523.jpg,640,444,469.57,331.77,45.02,105.95,2413.864500000003,http://images.cocodataset.org/val2017/000000064523.jpg
baseball_bat_57232_1476315,57232,1476315,39,baseball bat,000000057232.jpg,/Users/boddu/Documents/govinda/codex/COCOGhost/data/selected/images/000000057232.jpg,612,612,389.96,232.09,215.59,87.68,4827.58505,http://images.cocodataset.org/val2017/000000057232.jpg
baseball_bat_158227_629940,158227,629940,39,baseball bat,000000158227.jpg,/Users/boddu/Documents/govinda/codex/COCOGhost/data/selected/images/000000158227.jpg,500,357,107.5,36.9,51.34,250.3,4155.0636,http://images.cocodataset.org/val2017/000000158227.jpg
baseball_bat_284743_627441,284743,627441,39,baseball bat,000000284743.jpg,/Users/boddu/Documents/govinda/codex/COCOGhost/data/selected/images/000000284743.jpg,640,425,40.11,92.64,319.95,204.38,7085.663050000005,http://images.cocodataset.org/val2017/000000284743.jpg
baseball_bat_264968_631256,264968,631256,39,baseball bat,000000264968.jpg,/Users/boddu/Documents/govinda/codex/COCOGhost/data/selected/images/000000264968.jpg,334,500,170.67,92.0,70.66,221.33,2978.4911500000053,http://images.cocodataset.org/val2017/000000264968.jpg
baseball_bat_254516_628997,254516,628997,39,baseball bat,000000254516.jpg,/Users/boddu/Documents/govinda/codex/COCOGhost/data/selected/images/000000254516.jpg,640,427,250.05,0.0,113.32,165.07,2730.6402000000003,http://images.cocodataset.org/val2017/000000254516.jpg
baseball_bat_559547_630703,559547,630703,39,baseball bat,000000559547.jpg,/Users/boddu/Documents/govinda/codex/COCOGhost/data/selected/images/000000559547.jpg,640,491,163.4,300.89,66.2,190.11,2411.118799999999,http://images.cocodataset.org/val2017/000000559547.jpg
baseball_bat_491464_629786,491464,629786,39,baseball bat,000000491464.jpg,/Users/boddu/Documents/govinda/codex/COCOGhost/data/selected/images/000000491464.jpg,640,428,197.02,65.63,150.73,238.98,3793.7348500000016,http://images.cocodataset.org/val2017/000000491464.jpg
baseball_bat_415727_1477477,415727,1477477,39,baseball bat,000000415727.jpg,/Users/boddu/Documents/govinda/codex/COCOGhost/data/selected/images/000000415727.jpg,640,480,440.47,186.35,94.48,282.64,5269.085249999995,http://images.cocodataset.org/val2017/000000415727.jpg
baseball_bat_398028_630159,398028,630159,39,baseball bat,000000398028.jpg,/Users/boddu/Documents/govinda/codex/COCOGhost/data/selected/images/000000398028.jpg,428,640,226.73,37.31,96.14,200.9,4144.082700000004,http://images.cocodataset.org/val2017/000000398028.jpg
baseball_bat_279714_1475930,279714,1475930,39,baseball bat,000000279714.jpg,/Users/boddu/Documents/govinda/codex/COCOGhost/data/selected/images/000000279714.jpg,425,640,143.06,35.01,90.35,403.58,12758.871249999998,http://images.cocodataset.org/val2017/000000279714.jpg
skateboard_125472_639877,125472,639877,41,skateboard,000000125472.jpg,/Users/boddu/Documents/govinda/codex/COCOGhost/data/selected/images/000000125472.jpg,427,640,7.19,490.43,280.45,67.59,9365.817849999998,http://images.cocodataset.org/val2017/000000125472.jpg
skateboard_562229_639293,562229,639293,41,skateboard,000000562229.jpg,/Users/boddu/Documents/govinda/codex/COCOGhost/data/selected/images/000000562229.jpg,640,640,253.76,499.4,164.93,88.63,2622.422249999999,http://images.cocodataset.org/val2017/000000562229.jpg
skateboard_279278_640440,279278,640440,41,skateboard,000000279278.jpg,/Users/boddu/Documents/govinda/codex/COCOGhost/data/selected/images/000000279278.jpg,640,429,262.19,173.16,113.92,117.68,3596.293599999999,http://images.cocodataset.org/val2017/000000279278.jpg
skateboard_489924_639066,489924,639066,41,skateboard,000000489924.jpg,/Users/boddu/Documents/govinda/codex/COCOGhost/data/selected/images/000000489924.jpg,612,612,252.38,431.46,204.86,179.12,11271.22905000001,http://images.cocodataset.org/val2017/000000489924.jpg
skateboard_300842_643418,300842,643418,41,skateboard,000000300842.jpg,/Users/boddu/Documents/govinda/codex/COCOGhost/data/selected/images/000000300842.jpg,640,426,160.83,137.56,479.17,224.01,34851.0358,http://images.cocodataset.org/val2017/000000300842.jpg
skateboard_563648_1474865,563648,1474865,41,skateboard,000000563648.jpg,/Users/boddu/Documents/govinda/codex/COCOGhost/data/selected/images/000000563648.jpg,468,640,0.85,375.77,84.13,189.25,5170.190850000001,http://images.cocodataset.org/val2017/000000563648.jpg
